,inds,EAR_vals,sec
148,148,0.16409911169946748,2.977867203219316
178,178,0.14263981399580214,3.5814889336016096
179,179,0.09631028821996633,3.601609657947686
180,180,0.06621489920550648,3.6217303822937623
181,181,0.05205974579204898,3.6418511066398387
182,182,0.04569483977845072,3.6619718309859155
183,183,0.046283608032717916,3.682092555331992
184,184,0.046283608032717916,3.7022132796780682
185,185,0.11927245975349038,3.7223340040241446
186,186,0.14117413970193735,3.742454728370221
187,187,0.15804907758758596,3.762575452716298
188,188,0.15680232090015195,3.782696177062374
189,189,0.16742593199178826,3.8028169014084505
368,368,0.16442723871351794,7.4044265593561365
369,369,0.10232683184328463,7.424547283702213
370,370,0.10232072771108736,7.444668008048289
371,371,0.15116614928915528,7.464788732394366
586,586,0.09,11.790744466800804
587,587,0.06516379881734649,11.810865191146881
588,588,0.0691390398125286,11.830985915492956
589,589,0.07126297820682242,11.851106639839033
590,590,0.07468562533769765,11.87122736418511
591,591,0.10807692307692307,11.891348088531187
592,592,0.17489978185858462,11.911468812877263
844,844,0.1288315011366088,16.98189134808853
845,845,0.11995205752330736,17.002012072434606
846,846,0.14922321728952334,17.02213279678068
847,847,0.16442723871351794,17.04225352112676
880,880,0.1157575205168128,17.706237424547282
881,881,0.10227888936659198,17.726358148893357
882,882,0.09803697101301256,17.746478873239436
883,883,0.13807084455066515,17.76659959758551
1013,1013,0.12989612463383265,20.38229376257545
1014,1014,0.16326108942436268,20.40241448692153
1094,1094,0.08412570809895614,22.012072434607646
1095,1095,0.10925266980931136,22.03219315895372
1096,1096,0.13,22.052313883299796
1097,1097,0.16681052525035706,22.072434607645874
1156,1156,0.10576923076923077,23.259557344064383
1157,1157,0.1216227766016838,23.279678068410462
1158,1158,0.14006357366396865,23.299798792756537
1159,1159,0.15804907758758596,23.319919517102615
1160,1160,0.16993607669774313,23.34004024144869
1263,1263,0.14117413970193735,25.412474849094565
1323,1323,0.1028746462856272,26.619718309859152
1324,1324,0.06586187861294032,26.63983903420523
1325,1325,0.0918368576081228,26.659959758551306
1326,1326,0.10065641745332346,26.680080482897385
1327,1327,0.1361319693567708,26.70020120724346
1495,1495,0.09462128703531404,30.080482897384304
1496,1496,0.09764201453489826,30.100603621730382
1497,1497,0.08996004793608947,30.120724346076457
1498,1498,0.1231470749190022,30.140845070422532
1499,1499,0.14583333333333334,30.16096579476861
1713,1713,0.16319716612210586,34.46680080482897
1714,1714,0.11694497750161904,34.48692152917505
1715,1715,0.13157353745950112,34.50704225352113
1716,1716,0.14,34.5271629778672
1819,1819,0.15993607669774315,36.599597585513074
1820,1820,0.12152559498280845,36.61971830985915
1821,1821,0.14000000634417215,36.63983903420523
1822,1822,0.17472235796778432,36.6599597585513
1975,1975,0.1331963140611849,39.73843058350101
1976,1976,0.12,39.75855130784708
1977,1977,0.1609723579677843,39.77867203219316
2498,2498,0.1669897158393165,50.26156941649899
2499,2499,0.1281207242340073,50.281690140845065
2500,2500,0.08542268900205863,50.30181086519114
2501,2501,0.10925266980931136,50.32193158953722
2502,2502,0.1630785556162233,50.34205231388329
2566,2566,0.13541666666666669,51.62977867203219
2567,2567,0.08996803834887157,51.64989939637827
2568,2568,0.08232871812386948,51.670020120724345
2569,2569,0.09008431506322226,51.69014084507042
2570,2570,0.1232455532033676,51.710261569416495
2571,2571,0.16447840468500508,51.730382293762574
2697,2697,0.16239720554533188,54.265593561368206
2698,2698,0.1540196025354726,54.285714285714285
3407,3407,0.1464561068200575,68.5513078470825
